dataset,condition,seed,method,recipe,action,selected_step,E_selected,E_final,F0,normalized_E,fit_key,selected_checkpoint
bmra,SPREAD30,28003,WIDE,2,WIDE,60,0.3507061737296242,0.3507061737296242,0.35272339948758413,0.994280998196064,test/bmra/SPREAD30/WIDE/r2/s28003,JOINT_60
bmra,SPREAD30,28003,CURRENT_C,0,JOINT,10,0.3516267515313608,0.37289228800085616,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,RANDOM,0,STOP,10,0.3516267515313608,0.3543876867177612,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,HEAD_PROBE,0,HEAD,10,0.3516267515313608,0.3549919647327241,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,MASKED1,0,MASKED1,10,0.3516267515313608,0.35475828090997086,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,CONSTANT,0,STOP,10,0.3516267515313608,0.3543876867177612,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28003,SOURCE_CONSTANT,0,STOP,10,0.3516267515313608,0.3543876867177612,0.35272339948758413,0.9968909123754861,test/bmra/SPREAD30/TREE/r0/s28003,JOINT_10
bmra,SPREAD30,28004,FULL,0,JOINT,10,0.3475708632778395,0.3774504713834067,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,HEAD,0,HEAD0,25,0.3508139772675811,0.35122521360294723,0.35272339948758413,0.9945866301391489,test/bmra/SPREAD30/TREE/r0/s28004,HEAD0_25
bmra,SPREAD30,28004,FIXED,0,HEAD1,10,0.3475708632778395,0.3532837478511736,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,EARLY_STOP,0,ES2,10,0.3475708632778395,0.3480560406505796,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,PROBE,0,STOP,10,0.3475708632778395,0.34751651034968767,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,WIDE,2,WIDE,25,0.35123670166819154,0.351737417061064,0.35272339948758413,0.9957850887648725,test/bmra/SPREAD30/WIDE/r2/s28004,JOINT_25
bmra,SPREAD30,28004,CURRENT_C,0,JOINT,10,0.3475708632778395,0.3774504713834067,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,RANDOM,0,HEAD,10,0.3475708632778395,0.3532837478511736,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,HEAD_PROBE,0,STOP,10,0.3475708632778395,0.34751651034968767,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,MASKED1,0,MASKED1,10,0.3475708632778395,0.3515234350424825,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,CONSTANT,0,STOP,10,0.3475708632778395,0.34751651034968767,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
bmra,SPREAD30,28004,SOURCE_CONSTANT,0,STOP,10,0.3475708632778395,0.34751651034968767,0.35272339948758413,0.9853921338441681,test/bmra/SPREAD30/TREE/r0/s28004,JOINT_10
jena,FULL90,28002,FULL,0,JOINT,15,0.3694056074391323,0.4711757845736698,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,HEAD,0,HEAD0,30,0.3831068440955755,0.38684008183391383,0.37953721557029146,1.0094052134516514,test/jena/FULL90/TREE/r0/s28002,HEAD0_30
jena,FULL90,28002,FIXED,0,HEAD1,15,0.3694056074391323,0.38265509794597885,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,EARLY_STOP,0,ES2,15,0.3694056074391323,0.3760710180026354,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,PROBE,0,STOP,15,0.3694056074391323,0.3760710180026354,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,WIDE,2,WIDE,60,0.3841753510254845,0.3859108463487788,0.37953721557029146,1.0122205024037598,test/jena/FULL90/WIDE/r2/s28002,JOINT_60
jena,FULL90,28002,CURRENT_C,0,HEAD,15,0.3694056074391323,0.38265509794597885,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,RANDOM,0,JOINT,15,0.3694056074391323,0.4711757845736698,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,HEAD_PROBE,0,STOP,15,0.3694056074391323,0.3760710180026354,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,MASKED1,0,MASKED1,15,0.3694056074391323,0.38000773952397676,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,CONSTANT,0,STOP,15,0.3694056074391323,0.3760710180026354,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28002,SOURCE_CONSTANT,0,STOP,15,0.3694056074391323,0.3760710180026354,0.37953721557029146,0.973305363175162,test/jena/FULL90/TREE/r0/s28002,JOINT_15
jena,FULL90,28003,FULL,0,JOINT,30,0.36241289900037577,0.44652541443284033,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,HEAD,0,HEAD0,60,0.38426970283561024,0.3840449301981331,0.37953721557029146,1.0124690993957148,test/jena/FULL90/TREE/r0/s28003,HEAD0_60
jena,FULL90,28003,FIXED,0,HEAD1,30,0.36241289900037577,0.3740289284327163,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,EARLY_STOP,0,ES2,30,0.36241289900037577,0.39005397280894927,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,PROBE,0,STOP,30,0.36241289900037577,0.3746613934534121,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,WIDE,2,WIDE,60,0.38280685768436074,0.3831470404932821,0.37953721557029146,1.0086148129351593,test/jena/FULL90/WIDE/r2/s28003,JOINT_60
jena,FULL90,28003,CURRENT_C,0,HEAD,30,0.36241289900037577,0.3740289284327163,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,RANDOM,0,JOINT,30,0.36241289900037577,0.44652541443284033,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,HEAD_PROBE,0,STOP,30,0.36241289900037577,0.3746613934534121,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,MASKED1,0,MASKED1,30,0.36241289900037577,0.37275589714443025,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,CONSTANT,0,STOP,30,0.36241289900037577,0.3746613934534121,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28003,SOURCE_CONSTANT,0,STOP,30,0.36241289900037577,0.3746613934534121,0.37953721557029146,0.954881060756625,test/jena/FULL90/TREE/r0/s28003,JOINT_30
jena,FULL90,28004,FULL,0,JOINT,15,0.3688890931031484,0.43425076679135677,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,HEAD,0,HEAD0,30,0.3815267244932581,0.39357243387771684,0.37953721557029146,1.0052419337059666,test/jena/FULL90/TREE/r0/s28004,HEAD0_30
jena,FULL90,28004,FIXED,0,HEAD1,15,0.3688890931031484,0.39856610542783827,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,EARLY_STOP,0,ES2,15,0.3688890931031484,0.39093970988056037,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,PROBE,0,STOP,15,0.3688890931031484,0.39093970988056037,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,WIDE,2,WIDE,60,0.38272625563061735,0.38836704311999504,0.37953721557029146,1.0084024436326595,test/jena/FULL90/WIDE/r2/s28004,JOINT_60
jena,FULL90,28004,CURRENT_C,0,HEAD,15,0.3688890931031484,0.39856610542783827,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,RANDOM,0,JOINT,15,0.3688890931031484,0.43425076679135677,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,HEAD_PROBE,0,STOP,15,0.3688890931031484,0.39093970988056037,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,MASKED1,0,MASKED1,15,0.3688890931031484,0.39627221223860554,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,CONSTANT,0,STOP,15,0.3688890931031484,0.39093970988056037,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,FULL90,28004,SOURCE_CONSTANT,0,STOP,15,0.3688890931031484,0.39093970988056037,0.37953721557029146,0.971944457538523,test/jena/FULL90/TREE/r0/s28004,JOINT_15
jena,SPREAD30,28002,FULL,0,JOINT,0,0.37953721557029146,0.4030188487266135,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,HEAD,0,HEAD0,0,0.37953721557029146,0.3863331120755011,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,FIXED,0,HEAD1,0,0.37953721557029146,0.37280413052225575,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,EARLY_STOP,0,ES2,0,0.37953721557029146,0.36923926966294707,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,PROBE,0,STOP,0,0.37953721557029146,0.3693762595071059,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,WIDE,2,WIDE,0,0.37953721557029146,0.38148413891555144,0.37953721557029146,1.0,test/jena/SPREAD30/WIDE/r2/s28002,JOINT_0
jena,SPREAD30,28002,CURRENT_C,0,HEAD,0,0.37953721557029146,0.37280413052225575,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,RANDOM,0,JOINT,0,0.37953721557029146,0.4030188487266135,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,HEAD_PROBE,0,STOP,0,0.37953721557029146,0.3693762595071059,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,MASKED1,0,MASKED1,0,0.37953721557029146,0.37268158391106754,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,CONSTANT,0,STOP,0,0.37953721557029146,0.3693762595071059,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
jena,SPREAD30,28002,SOURCE_CONSTANT,0,STOP,0,0.37953721557029146,0.3693762595071059,0.37953721557029146,1.0,test/jena/SPREAD30/TREE/r0/s28002,JOINT_0
