series,target_event,first_release,first_growth,maturity_date,mature_growth
PAYEMS,2003-03-01,2003-04-04,-0.08278273073205611,2003-09-30,-0.11601152196760722
PAYEMS,2003-04-01,2003-05-02,-0.03681772201264977,2003-10-31,-0.016913579338151408
PAYEMS,2003-05-01,2003-06-06,-0.013069332829118707,2003-11-30,-0.0584507492183306
PAYEMS,2003-06-01,2003-07-03,-0.02308100674213165,2003-12-31,-0.0638734250561157
PAYEMS,2003-07-01,2003-08-01,-0.03387429589256641,2004-01-31,-0.04388852385552866
PAYEMS,2003-08-01,2003-09-05,-0.0716445536491861,2004-02-29,-0.01926017810056635
PAYEMS,2003-09-01,2003-10-03,0.04390238337226293,2004-03-31,0.051608928719737435
PAYEMS,2003-10-01,2003-11-07,0.09687166800187441,2004-04-30,0.06774442137444936
PAYEMS,2003-11-01,2003-12-05,0.043797135445444724,2004-05-31,0.06385327811191388
PAYEMS,2003-12-01,2004-01-09,0.000768500693659746,2004-06-30,0.006152379049950696
PAYEMS,2004-01-01,2004-02-06,0.08608829192944256,2004-07-31,0.12220007745948891
PAYEMS,2004-02-01,2004-03-05,0.016136158476776075,2004-08-31,0.06373070538323589
PAYEMS,2004-03-01,2004-04-02,0.2362072972715623,2004-09-30,0.2705946681331284
PAYEMS,2004-04-01,2004-05-07,0.22025429910890182,2004-10-31,0.24772169986562176
PAYEMS,2004-05-01,2004-06-04,0.1891686300192319,2004-11-30,0.15870839144493942
PAYEMS,2004-06-01,2004-07-02,0.08533658942955213,2004-12-31,0.07316515835871229
PAYEMS,2004-07-01,2004-08-06,0.02437983799481458,2005-01-31,0.06473699869271599
PAYEMS,2004-08-01,2004-09-03,0.10958655008721507,2005-02-28,0.1427964027051587
PAYEMS,2004-09-01,2004-10-08,0.07299325896834574,2005-03-31,0.09862307820593941
PAYEMS,2004-10-01,2004-11-05,0.25559652439532954,2005-04-30,0.2136024626544497
PAYEMS,2004-11-01,2004-12-03,0.0848362786548762,2005-05-31,0.09982757885023119
PAYEMS,2004-12-01,2005-01-07,0.1187706995411375,2005-06-30,0.11709470521239496
PAYEMS,2005-01-01,2005-02-04,0.1101886903940752,2005-07-31,0.09357714382094429
PAYEMS,2005-02-01,2005-03-04,0.19742004121301449,2005-08-31,0.22603476995648464
PAYEMS,2005-03-01,2005-04-01,0.08278706887328013,2005-09-30,0.09177487216440738
PAYEMS,2005-04-01,2005-05-06,0.20577375160168998,2005-10-31,0.21931645176369585
PAYEMS,2005-05-01,2005-06-03,0.05851111878154569,2005-11-30,0.09448819600628156
PAYEMS,2005-06-01,2005-07-08,0.10939280596975465,2005-12-31,0.13108567013535577
PAYEMS,2005-07-01,2005-08-05,0.15484453190204306,2006-01-31,0.20713927235291862
PAYEMS,2005-08-01,2005-09-02,0.12619994282143665,2006-02-28,0.13088566576495708
PAYEMS,2005-09-01,2005-10-07,-0.026108005235769838,2006-03-31,0.035870150441397186
PAYEMS,2005-10-01,2005-11-04,0.04178075609342358,2006-04-30,0.027641128681032967
PAYEMS,2005-11-01,2005-12-02,0.1602307665356406,2006-05-31,0.2640728405841841
PAYEMS,2005-12-01,2006-01-06,0.08034877751601499,2006-06-30,0.10796443434806235
PAYEMS,2006-01-01,2006-02-03,0.143529130185982,2006-07-31,0.11453817827504764
PAYEMS,2006-02-01,2006-03-10,0.18044447690375165,2006-08-31,0.14855532703048624
PAYEMS,2006-03-01,2006-04-07,0.1564580014477457,2006-09-30,0.12980512512985598
PAYEMS,2006-04-01,2006-05-05,0.10222298833095778,2006-10-31,0.08298694172967913
PAYEMS,2006-05-01,2006-06-02,0.05552738197796003,2006-11-30,0.07403733300357374
PAYEMS,2006-06-01,2006-07-07,0.08951724174472986,2006-12-31,0.09912416482116271
PAYEMS,2006-07-01,2006-08-04,0.08351965599402433,2007-01-31,0.09090069909980514
PAYEMS,2006-08-01,2006-09-01,0.0945095908971183,2007-02-28,0.13641866503757427
PAYEMS,2006-09-01,2006-10-06,0.03761408728770732,2007-03-31,0.14501566220062045
PAYEMS,2006-10-01,2006-11-03,0.06774768665138708,2007-04-30,0.0797421955262223
PAYEMS,2006-11-01,2006-12-08,0.0970930993069885,2007-05-31,0.1432298572142443
PAYEMS,2006-12-01,2007-01-05,0.12267641780780991,2007-06-30,0.16489854452306218
PAYEMS,2007-01-01,2007-02-02,0.0809023203325765,2007-07-31,0.11803452058192221
PAYEMS,2007-02-01,2007-03-09,0.0706165876398046,2007-08-31,0.06551458297732182
PAYEMS,2007-03-01,2007-04-06,0.13087865056409242,2007-09-30,0.1272667282057327
PAYEMS,2007-04-01,2007-05-04,0.06393490482246023,2007-10-31,0.08862737131654086
PAYEMS,2007-05-01,2007-06-01,0.11397253552214437,2007-11-30,0.1364197294508429
PAYEMS,2007-06-01,2007-07-06,0.0956715928365881,2007-12-31,0.050022293586415856
PAYEMS,2007-07-01,2007-08-03,0.06662997436457374,2008-01-31,0.06738178555849572
PAYEMS,2007-08-01,2007-09-07,-0.00289773180064401,2008-02-29,0.05373260173282546
PAYEMS,2007-09-01,2007-10-05,0.07958903538582973,2008-03-31,0.05878233651248621
PAYEMS,2007-10-01,2007-11-02,0.11999596634222343,2008-04-30,0.10151769817579037
PAYEMS,2007-11-01,2007-12-07,0.06790926427715505,2008-05-31,0.04347605624719364
PAYEMS,2007-12-01,2008-01-04,0.01299770375720044,2008-06-30,0.02969777107466598
PAYEMS,2008-01-01,2008-02-01,-0.012308984488207386,2008-07-31,-0.055056506751505196
PAYEMS,2008-02-01,2008-03-07,-0.04564407122931158,2008-08-31,-0.06016214967576872
PAYEMS,2008-03-01,2008-04-04,-0.05801894481241021,2008-09-30,-0.06382593145044524
PAYEMS,2008-04-01,2008-05-02,-0.014510839622694505,2008-10-31,-0.04862207320162071
PAYEMS,2008-05-01,2008-06-06,-0.035564330077875184,2008-11-30,-0.034122135796010866
PAYEMS,2008-06-01,2008-07-03,-0.04503490281031475,2008-12-31,-0.07263905249406122
PAYEMS,2008-07-01,2008-08-01,-0.03705304803709453,2009-01-31,-0.048697700904654084
PAYEMS,2008-08-01,2008-09-05,-0.06108424725432826,2009-02-28,-0.1276063772165159
PAYEMS,2008-09-01,2008-10-03,-0.11572264251089592,2009-03-31,-0.23449067486325248
PAYEMS,2008-10-01,2008-11-07,-0.17515823452267654,2009-04-30,-0.27830282643144244
PAYEMS,2008-11-01,2008-12-05,-0.39066701205356935,2009-05-31,-0.43879867692311336
PAYEMS,2008-12-01,2009-01-09,-0.3860013190475797,2009-06-30,-0.5029014140012222
PAYEMS,2009-01-01,2009-02-06,-0.4433610714556835,2009-07-31,-0.5500984522342378
PAYEMS,2009-02-01,2009-03-06,-0.48548309846374593,2009-08-31,-0.5082384953546182
PAYEMS,2009-03-01,2009-04-03,-0.49718701148577793,2009-09-30,-0.4890278710616869
PAYEMS,2009-04-01,2009-05-08,-0.40623042143810295,2009-10-31,-0.3909889304113179
PAYEMS,2009-05-01,2009-06-05,-0.26072481111452106,2009-11-30,-0.22897398719372575
PAYEMS,2009-06-01,2009-07-02,-0.3539880369261894,2009-12-31,-0.3509001565634051
PAYEMS,2009-07-01,2009-08-07,-0.18767362464338078,2010-01-31,-0.2310681082530408
PAYEMS,2009-08-01,2009-09-04,-0.16446996420551585,2010-02-28,-0.1620739673070304
PAYEMS,2009-09-01,2009-10-02,-0.20064319337755876,2010-03-31,-0.1731175823506348
PAYEMS,2009-10-01,2009-11-06,-0.14510132907918916,2010-04-30,-0.17264638763681006
