update,train_loss,primary,mse10,mse60,dataset,arm,seed
1000,0.2242964953184127,0.2068487132589022,0.2092349280913671,0.2044625009099642,jena,R,2026090602
1500,0.1848212480545044,0.193542535106341,0.1959355597694715,0.19114950299263,jena,R,2026090602
2000,0.1785781383514404,0.1851770703991254,0.1875196471810341,0.182834488650163,jena,R,2026090602
2500,0.1634581983089447,0.1793877432743708,0.1817051321268081,0.1770703519384066,jena,R,2026090602
3000,0.2137691527605056,0.1865024417638778,0.188795489569505,0.1842093914747238,jena,R,2026090602
3500,0.1137808337807655,0.1828251232703527,0.1851024205485979,0.1805478185415268,jena,R,2026090602
4000,0.1501976102590561,0.1835055301586786,0.1857827429970105,0.1812283222874005,jena,R,2026090602
4500,0.1711611151695251,0.179477609694004,0.1817461575071016,0.1772090643644333,jena,R,2026090602
5000,0.1577510088682174,0.1822292208671569,0.184493268529574,0.1799651682376861,jena,R,2026090602
500,0.6568663120269775,0.4840872377233044,0.6209226575781978,0.3472518325989483,uci,M,2026090601
1000,0.678644061088562,0.4794420686007759,0.6163240044019908,0.3425601423355459,uci,M,2026090601
1500,0.6016217470169067,0.4861988325913747,0.622930780242721,0.3494668996705657,uci,M,2026090601
2000,0.5642558336257935,0.4738997803010407,0.6104547698003342,0.3373447952000543,uci,M,2026090601
2500,0.5172111988067627,0.4686988621343486,0.6051222918976961,0.3322754273470728,uci,M,2026090601
3000,0.5129538774490356,0.4675163678237197,0.6039683493114913,0.3310643863928227,uci,M,2026090601
3500,0.4693884253501892,0.468952300685811,0.6053771446755217,0.3325274613219059,uci,M,2026090601
4000,0.6687358617782593,0.4706341582551864,0.6071263430000261,0.3341419878427612,uci,M,2026090601
4500,0.541336715221405,0.4697150990518601,0.6062535579119627,0.3331766352815786,uci,M,2026090601
5000,0.5586440563201904,0.4721866846463759,0.6086220785634209,0.3357512761125431,uci,M,2026090601
500,0.4734778702259063,0.4783659481630677,0.6154595487217867,0.3412723427510443,uci,M,2026090602
