series_id,seed,alpha_v2,alpha_eval_oracle_posthoc,v2_gap_global_minus_chosen,v2_second_best_gap,eval_regret_individual_minus_global,eval_oracle_gain_global_minus_oracle,eval_chosen_rank_of_11,v2_f0_minus_lora_loss,eval_f0_minus_lora_loss
T650,24001,0.0,0.0,0.007599560294631713,0.00041595303901298397,-0.0034883575257029786,0.0034883575257029786,1,-0.007599560294631713,-0.0034883575257029786
T651,24001,0.0,1.0,0.06065970504197882,0.005696301595066622,0.004155434497769006,0.0,11,-0.06065970504197882,0.004155434497769006
T652,24001,1.0,0.0,0.0,0.003269424276330535,0.0,0.00950200644386845,11,0.035083968188804604,-0.00950200644386845
T653,24001,1.0,0.0,0.0,0.0012634940270381811,0.0,0.0017610084823915795,11,0.01287760523371062,-0.0017610084823915795
T654,24001,1.0,0.0,0.0,0.00016001646595975583,0.0,0.0006111798049105444,11,0.002441438404730656,-0.0006111798049105444
T655,24001,1.0,1.0,0.0,0.0003404480458286674,0.0,0.0,1,0.003460064570525112,5.6746376740579585e-05
T656,24001,1.0,1.0,0.0,0.013334258624109252,0.0,0.0,1,0.16110911281332368,0.0359291378573616
T657,24001,1.0,0.0,0.0,0.0017446750308999226,0.0,0.0033762636838303717,11,0.01795689318206284,-0.0033762636838303717
T658,24001,1.0,0.0,0.0,5.397399574325057e-05,0.0,0.009661170947911524,11,0.0025282380828319795,-0.009661170947911524
T659,24001,1.0,1.0,0.0,0.0008914026790665108,0.0,0.0,1,0.00914761414067533,0.001047200227267231
T66,24001,1.0,1.0,0.0,0.025980842185951758,0.0,0.0,1,0.285417249558515,0.03683344212546613
T660,24001,1.0,1.0,0.0,0.008325012605262971,0.0,0.0,1,0.08725194042791906,0.011633716679628092
T661,24001,0.0,0.0,0.0029585954123498848,0.00027242351709433343,-0.018530285315195072,0.018530285315195072,1,-0.0029585954123498848,-0.018530285315195072
T662,24001,1.0,1.0,0.0,0.0005856552594295517,0.0,0.0,1,0.005856552594295683,0.0033775141421824584
T663,24001,1.0,1.0,0.0,0.006540943945871902,0.0,0.0,1,0.06766521794453317,0.009251957567258717
T664,24001,0.3,1.0,0.0016953833068910074,1.1413170367680081e-06,0.016433679612343766,0.0,8,-0.0016919593557809254,0.0243106209166698
T665,24001,1.0,1.0,0.0,0.0014710890659401787,0.0,0.0,1,0.01646799370006008,0.0015069681918867817
T666,24001,0.0,0.0,0.0013251868504617903,2.5671268182314577e-05,-0.011287221659244229,0.011287221659244229,1,-0.0013251868504617903,-0.011287221659244229
T667,24001,0.0,1.0,0.0028151450403592904,0.0002343996959366379,0.004218718990826709,0.0,11,-0.0028151450403592904,0.004218718990826709
T668,24001,1.0,1.0,0.0,0.00043246346458877816,0.0,0.0,1,0.004892310777949882,0.01157678787450317
T669,24001,1.0,0.0,0.0,0.0013888063576654175,0.0,0.0191240123926415,11,0.01480641677076594,-0.0191240123926415
T67,24001,0.0,1.0,0.008435487431422972,0.00062350443997361,0.0030502496300292004,0.0,11,-0.008435487431422972,0.0030502496300292004
T670,24001,1.0,0.0,0.0,0.0004134682071592066,0.0,0.010752468542266969,11,0.004147432545917706,-0.010752468542266969
T671,24001,1.0,0.2,0.0,0.0013601867925976951,0.0,0.0008063194381466854,11,0.014327502643655454,-0.0006804769134555189
T672,24001,0.0,0.0,0.0031409020941595145,0.00018105165127441092,-0.004062621158590463,0.004062621158590463,1,-0.0031409020941595145,-0.004062621158590463
T673,24001,0.0,0.6,0.03243899475382639,0.002461661008915872,0.0010811578510545594,0.00037823694506533556,11,-0.03243899475382639,0.0010811578510545594
T674,24001,1.0,0.0,0.0,0.0013128742622842138,0.0,0.009037270273752174,11,0.013263213311784594,-0.009037270273752174
T675,24001,1.0,0.0,0.0,0.0004987609030253082,0.0,0.0008872502758506262,11,0.005299963177372635,-0.0008872502758506262
T676,24001,1.0,0.0,0.0,0.0016053516805221713,0.0,0.038581406470629576,11,0.016053516805222934,-0.038581406470629576
T677,24001,1.0,1.0,0.0,0.0013613181524101403,0.0,0.0,1,0.014860715275984648,0.005709769039539014
T678,24001,1.0,1.0,0.0,0.0026696933449483207,0.0,0.0,1,0.032141295753113086,0.01062594027107383
T679,24001,1.0,0.0,0.0,0.00042572910034133216,0.0,0.004899234346297021,11,0.004817247175555761,-0.004899234346297021
T68,24001,0.0,0.0,0.012237307937474462,0.0011412065059310805,-0.0037454715098719227,0.0037454715098719227,1,-0.012237307937474462,-0.0037454715098719227
T680,24001,1.0,1.0,0.0,0.001570206122755935,0.0,0.0,1,0.022329439571757037,0.001713286342801379
T681,24001,1.0,1.0,0.0,0.0003697223998518906,0.0,0.0,1,0.005514782677198349,0.011361194480712822
T682,24001,1.0,1.0,0.0,0.002212598647315489,0.0,0.0,1,0.022125986473156223,0.030225855787400446
T683,24001,1.0,1.0,0.0,0.0008835934332202811,0.0,0.0,1,0.00983815594017573,0.03770481680233906
T684,24001,0.0,1.0,0.005034341970583778,0.00042447397911893336,0.049025750199510665,0.0,11,-0.005034341970583778,0.049025750199510665
T685,24001,1.0,1.0,0.0,0.0007583188579829148,0.0,0.0,1,0.007656551359279673,0.0033169896895521578
T686,24001,1.0,1.0,0.0,0.00022598442773574812,0.0,0.0,1,0.0030036366619541344,0.016453088321460557
